Name;Position;Age;Height_i;Weight;Salary;Points;Rebounds;Assists
Jalen Smith;PF;21;6.1;215;4458000.0;2.0;1.4;0.1
Marvin Bagley III;PF;22;6.11;235;11312114.0;14.1;7.4;1.0
Harrison Barnes;SF;29;6.8;225;20284091.0;16.1;6.6;3.5
Terence Davis;SG;24;6.4;201;4000000.0;8.7;2.5;1.4
De'Aaron Fox;PG;23;6.3;185;28103550.0;25.2;3.5;7.2
Tyrese Haliburton;PG;21;6.5;185;4023600.0;13.0;3.0;5.3
Maurice Harkless;SF;28;6.7;220;4347600.0;5.2;2.4;1.2
Buddy Hield;SG;28;6.4;220;22768890.0;16.6;4.7;3.6
Richaun Holmes;C;27;6.1;235;10384500.0;14.2;8.3;1.7
Justin James;SG;24;6.7;190;1782621.0;3.9;0.8;0.6
Damian Jones;C;26;6.11;245;1977011.0;4.7;3.1;0.7
Louis King;PF;22;6.7;205;;7.3;3.0;1.5
Alex Len;C;28;7.0;250;3732000.0;6.6;4.1;0.8
Chimezie Metu;PF;24;6.9;225;1762796.0;6.3;3.1;0.8
Davion Mitchell;PG;23;6.2;205;4603320.0;;;
Neemias Queta;C;22;7.0;245;;;;
Jahmi'us Ramsey;SG;20;6.3;190;1517981.0;3.1;0.8;0.5
Tristan Thompson;C;30;6.9;254;9720900.0;7.6;8.1;1.2
Robert Woodard II;SF;21;6.6;235;1517981.0;1.5;1.2;0.2
Moses Brown;C;21;7.2;245;1701593.0;8.6;8.9;0.2
Sterling Brown;SF;26;6.5;219;3000000.0;8.2;4.4;1.4
Jalen Brunson;PG;25;6.1;190;1802057.0;12.6;3.4;3.5
Reggie Bullock;SF;30;6.6;205;9536000.0;10.9;3.4;1.5
Trey Burke;PG;28;6.0;185;3150000.0;6.6;0.9;1.3
Willie Cauley-Stein;C;28;7.0;240;4100000.0;5.3;4.5;0.7
Luka Doncic;PG;22;6.7;230;10174391.0;27.7;8.0;8.6
Dorian Finney-Smith;PF;28;6.7;220;4000000.0;9.8;5.4;1.7
Josh Green;SG;20;6.5;200;2957520.0;2.6;2.0;0.7
Tim Hardaway Jr.;SF;29;6.5;205;21308816.0;16.6;3.3;1.8
Maxi Kleber;PF;29;6.1;240;8975000.0;7.1;5.2;1.4
Boban Marjanovic;C;33;7.4;290;3500000.0;4.7;3.9;0.3
JaQuori McLaughlin;G;23;6.4;190;;;;
Eugene Omoruyi;F;24;6.6;235;;;;
Kristaps Porzingis;C;26;7.3;240;31650600.0;20.1;8.9;1.6
Dwight Powell;C;30;6.1;240;11080125.0;5.9;4.0;1.1
JJ Redick;SG;37;6.3;200;;7.4;1.5;1.2
